PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BYAH
Station name, BYAH_KIVU_RW2022
Begin Date, 2022-08-04
End Date, 2023-09-04
Release Date, 2023-09-23
Source file, BYAH.cwu.igs14.pos
Offset from source file, -241.89 mm North, 28.75 mm East, 0.15 mm Vertical
Reference position, -1.6627052349 North Latitude, 29.2646134412 East Longitude, 1596.26345 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2023-03-07,17.91, 21.76, 26.42, 3.48, 3.48, 8.84, suppf,
2023-03-08,15.00, 25.14, 5.53, 3.69, 3.67, 8.82, suppf,
2023-03-09,16.95, 7.16, 5.09, 3.69, 3.67, 8.98, suppf,
2023-03-10,16.51, 24.26, 12.84, 3.47, 3.48, 8.74, suppf,
2023-03-11,17.00, 18.82, 10.10, 3.31, 3.35, 9.1, suppf,
2023-03-12,18.47, 20.22, 8.95, 3.34, 3.35, 8.58, suppf,
2023-03-13,20.28, 24.65, 19.57, 3.48, 3.51, 9.36, suppf,
2023-03-14,19.44, 21.19, 19.34, 3.57, 3.55, 8.46, suppf,
2023-03-15,15.07, 20.13, 7.08, 3.42, 3.44, 8.41, suppf,
2023-03-16,6.93, 16.13, 11.10, 3.2, 3.22, 8.7, suppf,
2023-03-17,13.35, 4.67, 3.89, 3.2, 3.21, 8.57, suppf,
2023-03-18,18.56, 14.11, 7.19, 3.25, 3.29, 9, suppf,
2023-03-19,14.18, 17.68, 12.35, 3.38, 3.42, 8.8, suppf,
2023-03-20,11.63, 13.53, 11.01, 3.3, 3.29, 8.58, suppf,
2023-03-21,9.32, 20.26, 7.40, 3.33, 3.33, 8.78, suppf,
2023-03-22,12.71, 21.54, -2.14, 3.32, 3.31, 9.3, suppf,
2023-03-23,9.23, 18.47, 2.57, 3.37, 3.38, 8.47, suppf,
2023-03-24,8.79, 19.19, -1.80, 3.48, 3.47, 8.17, suppf,
2023-03-25,8.49, 13.64, 7.38, 3.45, 3.46, 8.45, suppf,
2023-03-26,7.49, 15.11, 9.58, 3.3, 3.32, 9.01, suppf,
2023-03-27,11.72, 13.58, 15.51, 3.35, 3.39, 9.15, suppf,
2023-03-28,13.78, 15.60, 10.25, 3.17, 3.18, 8.46, suppf,
2023-03-29,16.29, 17.20, 13.20, 3.57, 3.54, 9.05, suppf,
2023-03-30,4.75, 8.19, -1.71, 3.44, 3.37, 8.63, suppf,
2023-03-31,12.40, 14.87, 16.66, 3.51, 3.51, 8.41, suppf,
2023-04-01,12.65, 20.25, 8.39, 3.48, 3.49, 8.45, suppf,
2023-04-02,12.34, 12.93, -3.78, 3.5, 3.48, 9.13, suppf,
2023-04-03,9.48, 17.63, -6.46, 3.37, 3.36, 9.08, suppf,
2023-04-04,11.11, 10.95, 11.43, 3.42, 3.45, 9.95, suppf,
