> -L"kivu_presumed_faults_right"
29.1754545334	-1.8165419416
29.177715144	-1.81360462234
29.1795236324	-1.80569643143
29.1843839452	-1.79677143178
> -L"200ft"
29.239429813	-1.85178939801
29.2408992099	-1.83676412494
29.2419164847	-1.82738738667
29.2425946678	-1.82083493808
> -L"200ft"
29.2613577357	-1.94171239383
29.2615837968	-1.93335291666
29.2645225905	-1.92702679845
29.2674613843	-1.91866724906
29.2658789569	-1.90872611014
29.2611316747	-1.89901085065
29.2557062092	-1.88974741282
29.2529934765	-1.88342113419
> -L"200ft"
29.0745039838	-2.33394333388
29.0815118766	-2.32287548748
29.0876155252	-2.31079110718
29.0934931127	-2.2973513485
29.0992576697	-2.28515381095
29.1001619139	-2.2738597023
29.098466456	-2.26900320838
29.0957537233	-2.26584083147
> -L"200ft"
28.9731721142	-2.45918452653
28.9755457553	-2.44687548865
28.9783715185	-2.43671197769
28.9800669765	-2.42745182311
28.9809712207	-2.41841746483
28.9819884955	-2.40870546257
28.9847012282	-2.40046149933
28.9899006325	-2.39018470842
28.995552159	-2.37979490753
28.9980388306	-2.3750517115
29.0004124718	-2.36759808486
29.0040294487	-2.35472354447
29.0083246088	-2.34399466992
29.0126197689	-2.33428214414
29.0162367459	-2.32547305107
29.0173670512	-2.32163317277
29.0180452343	-2.31655096485
29.0178191733	-2.31180755435
> -L"200ft"
28.8595764321	-2.4914810937
28.8573158216	-2.48470565541
28.8566376384	-2.47860773122
28.8573158216	-2.47239685364
28.8590112795	-2.46550839177
28.862741287	-2.45579672924
28.8669234165	-2.44732719846
28.8720097904	-2.44032567928
28.8773222253	-2.43422755221
28.8812782938	-2.4249673806
28.8850083013	-2.41853039468
28.8903207361	-2.41118993487
28.8963113542	-2.40475288367
28.8989110564	-2.40215546844
> -L"200ft"
28.8709925156	-2.48798045493
28.87619192	-2.47973697856
28.8808261717	-2.47262270424
28.8848952707	-2.46313694582
28.8887383087	-2.45432868108
28.8928074078	-2.44281009349
28.8957462015	-2.43219483706
28.897328629	-2.42395101643
28.8995892395	-2.41514249508
> -L"200ft"
29.0305916231	-2.70025996514
29.0313828368	-2.68908231609
29.0325131421	-2.67350117996
29.032287081	-2.66119420064
29.0318349589	-2.6522743865
29.030139501	-2.64143503213
29.0287831346	-2.63138596283
